YP_637442	aac2i	164756	NC_008146	Y	Y
YP_001068559	aac2i	164757	NC_009077	Y	Y
ABG06386	aac2i	164756	CP000384	N	N
ABL89492	aac2i	189918	CP000518	N	N
YP_936282	aac2i	189918	NC_008705	Y	Y
ABN96068	aac2i	164757	CP000580	N	N
Q52424	aac2ia	588	0	Y	Y
AAA03550	aac2ia	588	L06156	Y	Y
Q49157	aac2ib	1766	0	Y	Y
AAC44793	aac2ib	1766	U41471	N	N
YP_976398	aac2ic	410289	NC_008769	Y	Y
ABR04609	aac2ic	336982	CP000717	N	N
NP_853933	aac2ic	233413	NC_002945	Y	Y
ABL03761	aac2ic	362242	CP000325	Y	Y
ABQ71988	aac2ic	0	CP000611	N	N
EAY61707	aac2ic	348776	CH482374	N	N
YP_905232	aac2ic	362242	NC_008611	Y	Y
P0A5N0	aac2ic	1773	0	Y	Y
NP_334681	aac2ic	83331	NC_002755	Y	Y
AAB17563	aac2ic	83332	U72714	Y	Y
CAL70284	aac2ic	410289	AM408590	N	N
EBA44263	aac2ic	395095	DS016978	Y	Y
AAK44495	aac2ic	83331	AE000516	Y	Y
P0A5N1	aac2ic	1765	0	Y	Y
CAD93132	aac2ic	233413	BX248334	Y	Y
NP_214776	aac2ic	83332	NC_000962	Y	Y
YP_001286211	aac2ic	336982	NC_009565	Y	Y
ZP_00876906	aac2ic	348776	NZ_AAKR01000131	Y	Y
YP_001281550	aac2ic	0	NC_009525	Y	Y
CAB06689	aac2ic	83332	BX842572	Y	Y
YP_884847	aac2id	246196	NC_008596	Y	Y
P94968	aac2id	246196	0	Y	Y
ABK70574	aac2id	246196	CP000480	N	N
AAB41701	aac2id	246196	U72743	N	N
CAA39184	aac3iii	287	X55652	N	N
P29808	aac3iii	287	0	Y	Y
AAU09447	aac3iia	550	AY663802	N	Y
JE0138	aac3iia	9606	0	Y	Y
CAA31891	aac3iia	28426	X13541	Y	Y
NP_957558	aac3iia	562	NC_005327	Y	Y
AAT48482	aac3iia	573	AY602950	N	N
AAR25031	aac3iia	562	AY458016	N	N
P0A255	aac3iia	599	0	N	N
CAD38268	aac3iia	91750	AJ493431	N	Y
AAU93501	aac3iia	287	AY675230	N	N
AAN34370	aac3iia	470	AY138987	N	N
CAA31893	aac3iia	28427	X13542	Y	Y
P29807	aac3iia	470	0	Y	Y
AAO21433	aac3iia	32630	AY191460	N	N
AAT70821	aac3iia	573	AY591753	N	N
CAA31895	aac3iia	28425	X13543	Y	Y
ABS70978	aac3iia	562	EU022315	N	N
CAA38525	aac3iia	562	X54723	N	N
ABG56862	aac3iia	573	DQ449578	Y	Y
AAA19915	aac3iia	2508	L22613	Y	Y
AAN61405	aac3iia	287	AF466526	Y	Y
NP_775040	aac3iia	546	NC_004464	Y	Y
P13246	aac3iia	599	0	Y	Y
AAA21890	aac3iia	470	M62833	Y	Y
CAA35913	aac3iia	550	X51534	N	N
AAB20442	aac3iia	562	S68058	Y	Y
